Descrição;Categoria
Livro Marilia;Lazer e Entretenimento
Livro momoi;Lazer e Entretenimento
Livrojogo;Lazer e Entretenimento
Livros;Lazer e Entretenimento
Livros Jão;Lazer e Entretenimento
Lixa;Despesas Pessoais
Loccitane mamãe 1/3;Despesas Pessoais
Loccitane mamãe 2/3;Despesas Pessoais
Loccitane mamãe 3/3;Despesas Pessoais
Lock Box YB;Financeiro
Loggi YB;Financeiro
Loja preço de custo;Despesas Pessoais
Lojas Americanas;Despesas Pessoais
Lojas Economica;Despesas Pessoais
Lojas Mel;Despesas Pessoais
Lojasmel Ana Rosa;Despesas Pessoais
Lojinha Fênix;Despesas Pessoais
Loncho seu mario;Mercado
Lonchos;Mercado
Lonchos Bella Julli;Delivery
Loop;Outros Gastos
Lopes Supermercados;Mercado
Loteria;Despesas Pessoais
Loterica;Despesas Pessoais
Lotérica;Despesas Pessoais
Lotérica mensal;Despesas Pessoais
Lousa;Despesas Pessoais
Lovely Complex 4;Lazer e Entretenimento
LS de sousa;Outros Gastos
Lubrificante bicicleta;Despesas Pessoais
Luis Felipe;Outros Gastos
Lumart;Outros Gastos
Luminária;Casa
Luminária Terraço;Casa
Luminária TokStok;Casa
Luquespetos;Delivery
Luva;Despesas Pessoais
Luvas 1/7;Despesas Pessoais
Luvas 2/7;Despesas Pessoais
Luvas 3/7;Despesas Pessoais
Luvas 4/7;Despesas Pessoais
Luvas 5/7;Despesas Pessoais
Luvas 6/7;Despesas Pessoais
Luvas 7/7;Despesas Pessoais
Luvas Bike;Despesas Pessoais
Luz;Essenciais
M Livre;Despesas Pessoais
M Livre 2/6;Despesas Pessoais
M Livre 3/6;Despesas Pessoais
M Livre 4/6;Despesas Pessoais
M Livre 5/6;Despesas Pessoais
M Livre 6/6;Despesas Pessoais
Mac Pizza Pizzaria;Delivery
Madeiras 1/6;Despesas Pessoais
Madeiras 2/6;Despesas Pessoais
Madeiras 3/6;Despesas Pessoais
Madeiras 4/6;Despesas Pessoais
Madeiras 5/6;Despesas Pessoais
Madeiras 6/6;Despesas Pessoais
Madeiras Cooktop 1/3;Casa
Madeiras Cooktop 2-3/3;Casa
Madero Equipe;Delivery
Mãe;Despesas Pessoais
Mãe 1/4;Despesas Pessoais
Mãe 2/4;Despesas Pessoais
Mãe 3/4;Despesas Pessoais
Mãe 4/4;Despesas Pessoais
MagaRock;Lazer e Entretenimento
Magic Kids;Lazer e Entretenimento
Maiô Marilia;Despesas Pessoais
Mais roupas 1/12;Despesas Pessoais
Mais roupas 10/12;Despesas Pessoais
Mais roupas 11/12;Despesas Pessoais
Mais roupas 12/12;Despesas Pessoais
Mais roupas 2/12;Despesas Pessoais
Mais roupas 3/12;Despesas Pessoais
Mais roupas 4/12;Despesas Pessoais
Mais roupas 5/12;Despesas Pessoais
Mais roupas 6/12;Despesas Pessoais
Mais roupas 7/12;Despesas Pessoais
Mais roupas 8/12;Despesas Pessoais
Mais roupas 9/12;Despesas Pessoais
Makita YB;Financeiro
Malas;Despesas Pessoais
Mamãe;Despesas Pessoais
Mamãe Aniv Carol;Delivery
Mamãe Don Pancho;Delivery
Manete Juju;Veículo
Mangá 1/3;Lazer e Entretenimento
Mangá 2/3;Lazer e Entretenimento
Mangá 3/3;Lazer e Entretenimento
Manga momoi;Lazer e Entretenimento
Mangá P;Lazer e Entretenimento
Mangás;Lazer e Entretenimento
Mangas 1/2;Lazer e Entretenimento
Mangás 1/2;Lazer e Entretenimento
Mangás 1/3;Lazer e Entretenimento
Mangás 1/7;Lazer e Entretenimento
Mangas 2/2;Lazer e Entretenimento
Mangás 2/2;Lazer e Entretenimento
Mangás 2/3;Lazer e Entretenimento
Mangás 2/7;Lazer e Entretenimento
Mangás 3/3;Lazer e Entretenimento
Mangás 3/7;Lazer e Entretenimento
Mangás 4/7;Lazer e Entretenimento
Mangás 5/7;Lazer e Entretenimento
Mangás 6/7;Lazer e Entretenimento
Mangás 7/7;Lazer e Entretenimento
Mangás amazon 1/3;Lazer e Entretenimento
Mangás amazon 2/3;Lazer e Entretenimento
Mangás amazon 3/3;Lazer e Entretenimento
Mangás errados 1/7;Lazer e Entretenimento
Mangás errados 2/7;Lazer e Entretenimento
Mangás errados 3/7;Lazer e Entretenimento
Mangás errados 4/7;Lazer e Entretenimento
Mangás errados 5/7;Lazer e Entretenimento
Mangás errados 6/7;Lazer e Entretenimento
Mangás errados 7/7;Lazer e Entretenimento
Mangas Ultraman;Lazer e Entretenimento
Mangueira;Casa
Manual;Despesas Pessoais
Manual 1/3;Despesas Pessoais
Manual 2;Despesas Pessoais
Manual 2/3;Despesas Pessoais
Manual 3/3;Despesas Pessoais
Manut Celta Vidro;Veículo
Manut Miotto;Veículo
Manutenção aspirador;Casa
Manutenção bacia 1;Casa
Manutenção bacia 2;Casa
Manutenção carro 3/3;Veículo
Manutenção celta;Veículo
Manutenção Celta;Veículo
Manutenção Celta 1/2;Veículo
Manutenção Celta 2/2;Veículo
Manutenção Celtinha;Veículo
Manutenção cond.;Casa
Manutenção do portão;Casa
Manutenção dos relógios;Casa
Manutenção Geladeira;Casa
Manutenção Juju 1/6;Veículo
Manutenção Juju 2/6;Veículo
Manutenção Juju 3/6;Veículo
Manutenção Juju 4/6;Veículo
Manutenção Juju 5/6;Veículo
Manutenção Juju 6/6;Veículo
Manutenção PC 1/10;Casa
Manutenção PC 2/10;Casa
Manutenção PC 3/10;Casa
Manutenção PC 5/10;Casa
Manutenção portão;Casa
Manutenções;Casa
Maquiagem;Despesas Pessoais
Maquiagem Marilia;Despesas Pessoais
Maquiagem momoi;Despesas Pessoais
Maquiagens;Despesas Pessoais
Máquina;Casa
Maquina de lavar;Casa
Máquina de lavar 1/10;Casa
Máquina de lavar 1/3;Casa
Máquina de lavar 1/4;Casa
Máquina de lavar 2/10;Casa
Máquina de lavar 2/3;Casa
Máquina de lavar 2/4;Casa
Máquina de lavar 3/10;Casa
Máquina de lavar 3/3;Casa
Máquina de lavar 3/4;Casa
Máquina de lavar 4/10;Casa
Máquina de lavar 4/4;Casa
Máquina de lavar 5/10;Casa
Máquina de lavar 6-7-8-9-10/10;Casa
Maquina de macarrão;Despesas Pessoais
Máquina de tattoo;Despesas Pessoais
Maquininha 1/12;Despesas Pessoais
Maquininha 10/12;Despesas Pessoais
Maquininha 11/12;Despesas Pessoais
Maquininha 12/12;Despesas Pessoais
Maquininha 2/12;Despesas Pessoais
Maquininha 3/12;Despesas Pessoais
Maquininha 4/12;Despesas Pessoais
Maquininha 5/12;Despesas Pessoais
Maquininha 6/12;Despesas Pessoais
Maquininha 7/12;Despesas Pessoais
Maquininha 8/12;Despesas Pessoais
Maquininha 9/12;Despesas Pessoais
Marcia Aparecida;Outros Gastos
Marco Luccio;Delivery
Marilia;Outros Gastos
Marilia - Adiantamento;Receitas
Marilia - Quinto dia;Receitas
Marilia CC 5;Despesas Pessoais
Marilia Cheque especial;Despesas Pessoais
Marilia no shops;Despesas Pessoais
Marilia NU 5;Despesas Pessoais
Mario Benedito;Outros Gastos
Marisa;Despesas Pessoais
Marisa 1/3;Despesas Pessoais
Marisa 2/3;Despesas Pessoais
Marisa 3/3;Despesas Pessoais
Marmalade 7;Lazer e Entretenimento
Marmita;Delivery
Marmita Anderson;Delivery
Marmitas de almoço;Delivery
Marmitas e gatinhos;Delivery
Marmitex;Delivery
MaryChá;Delivery
Máscara 1/6;Essenciais
Máscara 2/6;Essenciais
Máscara 3/6;Essenciais
Máscara 4/6;Essenciais
Máscara 5/6;Essenciais
Máscara 6/6;Essenciais
Máscaras;Essenciais
Máscaras pretas 1/3;Essenciais
Massa pastel;Mercado
Massa plástica;Casa
Massa vidro;Casa
Mate Cidade Sp;Delivery
Materiais;Outros Gastos
Materiais de Manicure;Essenciais
Materiais de tattoo;Despesas Pessoais
Materiais Depilação;Essenciais
Materiais Depilação 1/2;Essenciais
Materiais Depilação 2/2;Essenciais
Materiais do curso;Educação
Materiais do curso 1/2;Educação
Materiais do curso 2/2;Educação
Materiais manicure;Essenciais
Materiais Marilia;Essenciais
Materiais Marilia 1/3;Essenciais
Materiais Marilia 2/3;Essenciais
Materiais Marilia 3/3;Essenciais
Materiais Minaw;Outros Gastos
Materiais YB;Financeiro
Material de desenho;Despesas Pessoais
Material Marilia;Essenciais
Material Tattoo;Despesas Pessoais
Matrícula AP;Essenciais
Matricula YB;Financeiro
Matrícula YB;Financeiro
Matrix Ressurections;Lazer e Entretenimento
Matuo;Despesas Pessoais
Mauricio;Outros Gastos
MC AF;Delivery
Mc Donalds Alphashopp;Delivery
Mc Donalds Anr;Delivery
Mc Donalds Lib;Delivery
Mc Donalds Wos;Delivery
Mc Donalds-Uniao Osasc;Delivery
Mc Momoi;Delivery
Mc1000;Delivery
McDonald's;Delivery
mcdonalds;Delivery
McDOnalds;Delivery
Mcdonalds;Delivery
McDonalds CFC;Delivery
McDonalds chefe;Delivery
McDonalds Liberdade;Delivery
McDonalds Mãe;Delivery
McDonalds mamae;Delivery
McDonalds Marilia;Delivery
McDonalds Pedalão;Delivery
McDonalds UpAbc;Delivery
McMarilia;Delivery
Médico;Saúde
Médico Marilia;Saúde
Médico Marilia 1/6;Saúde
Médico Marilia 2/6;Saúde
Médico Marilia 3/6;Saúde
Médico Marilia 4/6;Saúde
Médico Marilia 5/6;Saúde
Médico Marilia 6/6;Saúde
Médico momoi 2/2;Saúde
Mega da Virada;Despesas Pessoais
Meia carol;Despesas Pessoais
Meia Pizza;Delivery
Meias;Despesas Pessoais
Meio teclado marilia;Despesas Pessoais
Mel;Mercado
Melimais;Lazer e Entretenimento
Menina do bolo;Despesas Pessoais
Menina do Bolo;Despesas Pessoais
Menina do bolo 1/2;Despesas Pessoais
Menina do bolo 1/3;Despesas Pessoais
Menina do bolo 2/2;Despesas Pessoais
Menina do bolo 2/3;Despesas Pessoais
Menina do bolo 3/3;Despesas Pessoais
Mensalidade e taxas PJ;Essenciais
Mensalidade PJ;Essenciais
Mercadao;Mercado
Mercadão;Mercado
Mercadao de Carnes Nov;Mercado
Mercadinho;Mercado
Mercado - Poup;Mercado
Mercado Car;Veículo
Mercado dogão Murigay;Mercado
Mercado Guarujá;Lazer e Entretenimento
Mercado Hopi;Lazer e Entretenimento
Mercado Livre;Despesas Pessoais
Mercado livre;Despesas Pessoais
Mercado livre ? 1/12;Despesas Pessoais
Mercado livre ? 10/12;Despesas Pessoais
Mercado livre ? 11/12;Despesas Pessoais
Mercado livre ? 12/12;Despesas Pessoais
Mercado livre ? 2/12;Despesas Pessoais
Mercado livre ? 3/12;Despesas Pessoais
Mercado livre ? 4/12;Despesas Pessoais
Mercado livre ? 5/12;Despesas Pessoais
Mercado livre ? 6/12;Despesas Pessoais
Mercado livre ? 7/12;Despesas Pessoais
Mercado livre ? 8/12;Despesas Pessoais
Mercado livre ? 9/12;Despesas Pessoais
Mercado Livre 1/12;Despesas Pessoais
Mercado livre 1/3;Despesas Pessoais
Mercado Livre 1/3;Despesas Pessoais
Mercado livre 1/4;Despesas Pessoais
Mercado Livre 1/6;Despesas Pessoais
Mercado Livre 1/9;Despesas Pessoais
Mercado livre 1/9;Despesas Pessoais
Mercado Livre 10/12;Despesas Pessoais
Mercado Livre 11/12;Despesas Pessoais
Mercado Livre 12/12;Despesas Pessoais
Mercado Livre 2/12;Despesas Pessoais
Mercado livre 2/3;Despesas Pessoais
Mercado Livre 2/3;Despesas Pessoais
Mercado livre 2/4;Despesas Pessoais
Mercado Livre 2/6;Despesas Pessoais
Mercado Livre 2/9;Despesas Pessoais
Mercado livre 2/9;Despesas Pessoais
Mercado Livre 3/12;Despesas Pessoais
Mercado livre 3/3;Despesas Pessoais
Mercado Livre 3/3;Despesas Pessoais
Mercado livre 3/4;Despesas Pessoais
Mercado Livre 3/6;Despesas Pessoais
Mercado Livre 3/9;Despesas Pessoais
Mercado livre 3/9;Despesas Pessoais
Mercado Livre 4/12;Despesas Pessoais
Mercado livre 4/4;Despesas Pessoais
Mercado Livre 4/6;Despesas Pessoais
Mercado Livre 4/9;Despesas Pessoais
Mercado livre 4/9;Despesas Pessoais
Mercado Livre 5/12;Despesas Pessoais
Mercado Livre 5/6;Despesas Pessoais
Mercado Livre 5/9;Despesas Pessoais
Mercado livre 5/9;Despesas Pessoais
Mercado Livre 6/12;Despesas Pessoais
Mercado Livre 6/6;Despesas Pessoais
Mercado Livre 6/9;Despesas Pessoais
Mercado livre 6/9;Despesas Pessoais
Mercado Livre 7/12;Despesas Pessoais
Mercado Livre 7/9;Despesas Pessoais
Mercado livre 7/9;Despesas Pessoais
Mercado Livre 8/12;Despesas Pessoais
Mercado Livre 8/9;Despesas Pessoais
Mercado livre 8/9;Despesas Pessoais
Mercado Livre 9/12;Despesas Pessoais
Mercado Livre 9/9;Despesas Pessoais
Mercado livre 9/9;Despesas Pessoais
Mercado momoi;Mercado
Mercado P;Lazer e Entretenimento
Mercado Pedalada;Lazer e Entretenimento
Mercado praia;Lazer e Entretenimento
Mercado Sítio;Lazer e Entretenimento
Mercadolivre;Despesas Pessoais
MERCADOLIVRE LDZSTORE;Despesas Pessoais
MERCADOLIVRE MARSHOP;Despesas Pessoais
MERCADOLIVRE ROCHADEP;Despesas Pessoais
MERCPAGO MKFOFINH;Despesas Pessoais
Mercpago*Troc 6/12;Despesas Pessoais
Mesa;Casa
Mesada;Despesas Pessoais
Mesada Marilia;Despesas Pessoais
Metalotec 1/2;Outros Gastos
Metalotec 2/2;Outros Gastos
Metro Redux;Lazer e Entretenimento
Metronomo;Despesas Pessoais
Michael;Financeiro
Michelucci;Delivery
Microondas YB;Financeiro
Milho praia;Delivery
Minas Sabor;Delivery
Minoxidil;Despesas Pessoais
Minutos vivo;Essenciais
Mirassol;Mercado
MKFofinho;Outros Gastos
ML;Despesas Pessoais
MLivre;Despesas Pessoais
MLivre 1/2;Despesas Pessoais
MLivre 1/3;Despesas Pessoais
MLivre 1/4;Despesas Pessoais
MLivre 2/2;Despesas Pessoais
MLivre 2/3;Despesas Pessoais
MLivre 2/4;Despesas Pessoais
MLivre 3/3;Despesas Pessoais
MLivre 3/4;Despesas Pessoais
MLivre 4/4;Despesas Pessoais
Mobly;Casa
Mochi;Mercado
Mochila Bike;Despesas Pessoais
Mochila João;Despesas Pessoais
Mochila Marilia;Despesas Pessoais
Momo;Delivery
Momo Lamen;Delivery
Momoi;Delivery
Momoi - Almoço;Delivery
Momoi - Almoço caralho;Delivery
Momoi - Almoço caro pra cacete;Delivery
Momoi - Almoço momoi;Delivery
Momoi - Bikini 10/12;Despesas Pessoais
Momoi - Bikini 11/12;Despesas Pessoais
Momoi - Bikini 12/12;Despesas Pessoais
Momoi - Bikini 9/12 - 3/11/15;Despesas Pessoais
Momoi - Café da manhã;Delivery
Momoi - Chocolate;Delivery
Momoi - Doces;Delivery
Momoi - Drogaria;Mercado
Momoi - Drogaria Rainha;Mercado
Momoi - Google music;Lazer e Entretenimento
Momoi - Mais almoço;Delivery
Momoi - Mais doce;Delivery
Momoi - Restaurante;Delivery
Momoi - Roupa da cabeçuda;Despesas Pessoais
Momoi - Sei la;Despesas Pessoais
Momoi - Sobrancelha Marilia;Despesas Pessoais
Momoi Espelho;Despesas Pessoais
Momomóvel 1/36;Veículo
Momomóvel 2 e 34/36;Veículo
Momomóvel 3/36;Veículo
Momomóvel 4/30;Veículo
Momomóvel 5/30;Veículo
Momomóvel 6/30;Veículo
Momomóvel 7/30;Veículo
Momomóvel 8/30;Veículo
Momomóvel 9/30;Veículo
Moms;Despesas Pessoais
Moocamor;Delivery
Mop;Casa
Mordecai;Despesas Pessoais
Mortadela co Stéfano;Delivery
Moto Mamãe;Veículo
Mouse;Despesas Pessoais
Mouse Marilia 1/12;Despesas Pessoais
Mouse Marilia 10/12;Despesas Pessoais
Mouse Marilia 11/12;Despesas Pessoais
Mouse Marilia 12/12;Despesas Pessoais
Mouse Marilia 2/12;Despesas Pessoais
Mouse Marilia 3/12;Despesas Pessoais
Mouse Marilia 4/12;Despesas Pessoais
Mouse Marilia 5/12;Despesas Pessoais
Mouse Marilia 6/12;Despesas Pessoais
Mouse Marilia 7/12;Despesas Pessoais
Mouse Marilia 8/12;Despesas Pessoais
Mouse Marilia 9/12;Despesas Pessoais
Mouse pads;Despesas Pessoais
Mouse YB;Financeiro
Mousepad;Despesas Pessoais
Mouses Yellowbrick;Outros Gastos
Móveis;Casa
Móveis novos 1/10;Casa
Móveis novos 10/10;Casa
Móveis novos 2/10;Casa
Móveis novos 3/10;Casa
Móveis novos 4/10;Casa
Móveis novos 5/10;Casa
Móveis novos 6/10;Casa
Móveis novos 7/10;Casa
Móveis novos 8/10;Casa
Móveis novos 9/10;Casa
Móveis NuConta;Casa
Móveis retirado da Nuconta;Casa
MP LOTERIASONLINE06UG;Despesas Pessoais
Mr Bentô;Delivery
Muamba do Guilhermino;Despesas Pessoais
Multa;Veículo
Multa 1;Veículo
Multa 2;Veículo
Multa atraso;Financeiro
Multa FGTS;Receitas
Multimetro;Despesas Pessoais
Mundo do Cabelereiro;Despesas Pessoais
Murillo Rolê;Lazer e Entretenimento
Musashi;Outros Gastos
Museu;Lazer e Entretenimento
Museu Paranapiacaba;Lazer e Entretenimento
My Sandwich Raijin;Delivery
Na Na Ya Patisserie Co;Delivery
Naguno;Delivery
Nakata M Emporio;Delivery
Nakato;Delivery
Nana;Lazer e Entretenimento
Não sei;Outros Gastos
Não si;Outros Gastos
Naoto;Delivery
Naruto 1/2/3;Lazer e Entretenimento
Naruto 3/6;Lazer e Entretenimento
Naruto 4/6;Lazer e Entretenimento
Naruto 5/6;Lazer e Entretenimento
Naruto 6/6;Lazer e Entretenimento
Naruto OUT/6x;Lazer e Entretenimento
Nascer do sol;Lazer e Entretenimento
Natal mãe;Despesas Pessoais
NCopay 1/5;Outros Gastos
NCopay 2/5;Outros Gastos
NCopay 3/5;Outros Gastos
NCopay 4/5;Outros Gastos
NCopay 5/5;Outros Gastos
Nespresso YB;Financeiro
Netflix 12;Lazer e Entretenimento
Netflix seu mario;Lazer e Entretenimento
Netflix Seu Mario;Lazer e Entretenimento
Netflix seu Mario;Lazer e Entretenimento
NF;Receitas
Nihongo;Educação
Nikon 10x;Despesas Pessoais
Nintendo;Lazer e Entretenimento
Nintendo Wesley;Lazer e Entretenimento
Niple YB;Financeiro
Nível 6;Lazer e Entretenimento
Nível 6 ML;Lazer e Entretenimento
No Mans Sky 1/3;Lazer e Entretenimento
No Mans Sky 2/3;Lazer e Entretenimento
No Mans Sky 3/3;Lazer e Entretenimento
Noita;Lazer e Entretenimento
Noren;Casa
Nos 3;Outros Gastos
Nota Paulista;Receitas
Nota paulista + empréstimo;Receitas
Notebook 1/2;Despesas Pessoais
Notebook 2/2;Despesas Pessoais
Nova Granservice 1/3;Casa
Nova Granservice 2/3;Casa
Nova Granservice 3/3;Casa
Nova Karol;Delivery
Novilhão festa;Delivery
Nsei;Outros Gastos
NU;Outros Gastos
Nu Bank Junho momoi;Despesas Pessoais
Nu Marilia;Despesas Pessoais
Nubank;Despesas Pessoais
Nubank Maio;Despesas Pessoais
NuBank Marilia;Despesas Pessoais
Nubank Marilia;Despesas Pessoais
NUBank Marilia;Despesas Pessoais
NUBANK MARILIA;Despesas Pessoais
Nubank Marilia 16;Despesas Pessoais
NuRewards;Financeiro
Nutricar;Outros Gastos
Nutty;Delivery
O Segredo dos Doces;Delivery
OB;Mercado
Obentô;Delivery
Obento 11/9/2015;Delivery
Óculos;Essenciais
Óculos 1/4;Essenciais
Óculos 2/4;Essenciais
Óculos 3/4;Essenciais
Óculos 4/4;Essenciais
Óculos Cosplay 1/2;Despesas Pessoais
Óculos Cosplay 2/2;Despesas Pessoais
Óculos cosplay jujuba;Despesas Pessoais
Óculos João 1/7;Essenciais
Óculos João 2/7;Essenciais
Óculos João 3/7;Essenciais
Óculos João 4/7;Essenciais
Óculos João 5/7;Essenciais
Óculos João 6/7;Essenciais
Óculos João 7/7;Essenciais
Óculos Marilia 1/4;Essenciais
Óculos Marilia 2/4;Essenciais
Óculos Marilia 3/4;Essenciais
Óculos Marilia 4/4;Essenciais
Óculos momoi 1/10;Essenciais
Óculos momoi 2/10;Essenciais
Óculos momoi 3/10;Essenciais
Óculos momoi 4/10;Essenciais
Óculos momoi 5/10;Essenciais
Óculos momoi 6/10;Essenciais
Óculos momoi 7/10;Essenciais
Óculos momoi 9/10;Essenciais
Óculos novo 1/10;Essenciais
Óculos novo 10/10;Essenciais
Óculos novo 2/10;Essenciais
Óculos novo 3/10;Essenciais
Óculos novo 4/10;Essenciais
Óculos novo 5/10;Essenciais
Óculos novo 6/10;Essenciais
Óculos novo 7/10;Essenciais
Óculos novo 8/10;Essenciais
Óculos novo 9/10;Essenciais
Odonto Marilia;Saúde
Odorizadores;Mercado
Oftalmo momoi;Saúde
Oi Marilia;Essenciais
Oi Residual;Essenciais
Óleo moto;Veículo
Olho boneca;Despesas Pessoais
OLX;Veículo
OLX 1/3;Veículo
OLX 3/3;Veículo
Omar;Outros Gastos
One Punch 2;Lazer e Entretenimento
Ônibus;Transporte
Open Box 1/2;Casa
Open Box 2/2;Casa
Opera Jão;Lazer e Entretenimento
Orange 2;Lazer e Entretenimento
Orange 3;Lazer e Entretenimento
Orange 4;Lazer e Entretenimento
Oring Wap;Casa
Orquestra;Lazer e Entretenimento
Osasco;Lazer e Entretenimento
Osasco Plaza;Lazer e Entretenimento
Oster;Casa
Otário coin 1/2;Despesas Pessoais
Otário coin 2/2;Despesas Pessoais
Oticas Diniz 8/10;Essenciais
Outback;Delivery
Outback Adriano;Delivery
Outback Cris;Delivery
Outback Minaw Wes;Delivery
Outlet;Despesas Pessoais
Ovo Karine;Mercado
Ovos na padoca;Mercado
Padaria;Mercado
PADARIA ;Mercado
Padaria - Poup;Mercado
Padaria festa;Mercado
Padaria Mamãe;Mercado
Padaria mamãe;Mercado
Padaria Nu bank marilia;Mercado
Padaria P;Mercado
Padaria Praia;Mercado
PADOCA;Mercado
Padrim Xadrez Verbal;Despesas Pessoais
Pães de mel;Mercado
Pães de mel 1/2;Mercado
Pães de mel 2/2;Mercado
Paes e Doces Bella Jul;Mercado
PAG MULTIMARCAS;Outros Gastos
Pag*Ancomercado;Mercado
Pag*Bananavenanci;Mercado
Pag*Boacompra 1/3;Lazer e Entretenimento
Pag*Boacompra 2/5;Lazer e Entretenimento
Pag*Churrosdamac;Delivery
Pag*Donpancho;Delivery
Pag*Emporioespacodemi;Delivery
Pag*Jairdonizetecirin;Mercado
Pag*Mariadaconceicaod;Mercado
Pag*Mexicanissimo;Delivery
Pag*Restaurantecampes;Delivery
Pag*Ricardoyukio;Delivery
Pag*Spnoitechoperia;Delivery
Pagamento cartão;Despesas Pessoais
Pagamento dos empr.;Financeiro
Pagamento Leozão;Despesas Pessoais
Pagamentos do filtro;Casa
Pago em dinheiro;Outros Gastos
Palitos momoi;Despesas Pessoais
Palmilhas momoi;Despesas Pessoais
Palmito Lilicakes;Mercado
Panela de churrasco;Casa
Panela Embu;Casa
Panelas;Casa
Panetone;Mercado
Panini;Lazer e Entretenimento
Pannetone;Mercado
Pano Pets;Pets
Panos;Casa
Panos 1/3;Casa
Panos 2/3;Casa
Panos 3/3;Casa
Panos de chão 1/3;Casa
Panos de chão 2/3;Casa
Panos de chão 3/3;Casa
Panquecas;Delivery
Pão;Mercado
Pão de açúcar;Mercado
Pão de maçã;Delivery
Pão de queijo;Delivery
Pãozinho;Mercado
Papel da dog;Pets
Papel dog;Pets
Papel pet;Pets
Papelaria;Despesas Pessoais
Papelaria momoi;Despesas Pessoais
Paper Clips;Despesas Pessoais
Papers please;Lazer e Entretenimento
Para sol 1/4;Veículo
Para sol 2/4;Veículo
Para sol 3/4;Veículo
Para sol 4/4;Veículo
Parada Bike Praia;Lazer e Entretenimento
Parafusos Noren;Casa
Paraiso doces;Delivery
Paraíso doces;Delivery
Paranapiacaba;Lazer e Entretenimento
Parc CC 1/6;Despesas Pessoais
Parc CC 2/6;Despesas Pessoais
Parc CC 3/6;Despesas Pessoais
Parc CC 4/6;Despesas Pessoais
Parc CC 5/6;Despesas Pessoais
Parc CC 6/6;Despesas Pessoais
Parcela 1/60 AP;Essenciais
Parcela liq Karine;Outros Gastos
Parcelamento fat fev nu;Financeiro
PARCELAMENTOS;Financeiro
Paredinha;Casa
Paredinha 1/3;Casa
Paredinha 2/3;Casa
Paredinha 3/3;Casa
Paroquia;Outros Gastos
Parte da Karen;Outros Gastos
Parte da Marilia dez;Outros Gastos
Parte da Marilia jan;Outros Gastos
Parte Marilia;Outros Gastos
Parte pedro;Outros Gastos
Passagem;Lazer e Entretenimento
Passagem 1/3;Lazer e Entretenimento
Passagem 2/3;Lazer e Entretenimento
Passagem 3/3;Lazer e Entretenimento
Passagem DBM;Lazer e Entretenimento
Passagem Itanhaém;Lazer e Entretenimento
Passagem Marilia;Lazer e Entretenimento
Passagem momoi;Lazer e Entretenimento
Passagens de ônibus;Lazer e Entretenimento
Passagens Diadema;Lazer e Entretenimento
Passagens pedal anchieta;Lazer e Entretenimento
Passagens praia;Lazer e Entretenimento
Pastéis pedalada;Delivery
Pastel do Claudio Com;Delivery
Pastel Karine;Delivery
Pastilhas 1/2;Veículo
Pastilhas 2/2;Veículo
Patrícia;Outros Gastos
Patrícia 1;Outros Gastos
Patrícia 2;Outros Gastos
Paypal;Outros Gastos
Paypal *Gearbest;Outros Gastos
Paypal *Steam Games;Lazer e Entretenimento
Paypal 5/5;Lazer e Entretenimento
Paypal*Digitalrivedr;Lazer e Entretenimento
Paypal*Yellow;Lazer e Entretenimento
PayTCC;Outros Gastos
Payu*Blizzardenter;Outros Gastos
Peak, Silk 1/3;Lazer e Entretenimento
Peak, Silk 2/3;Lazer e Entretenimento
Peak, Silk 3/3;Lazer e Entretenimento
Peça moto;Veículo
Peça moto 1/8;Veículo
Peça moto 2/8;Veículo
Peça moto 3/8;Veículo
Peça moto 4/8;Veículo
Peça moto 5/8;Veículo
Peça moto 6/8;Veículo
Peça moto 7/8;Veículo
Peça moto 8/8;Veículo
Peças;Veículo
Peças Bike;Despesas Pessoais
Peças biz;Veículo
Peças celta;Veículo
Pedacinho;Outros Gastos
Pedágio;Transporte
Pedepront;Outros Gastos
Pedicure;Despesas Pessoais
Pedro Aniv Carol;Financeiro
Pefisa;Outros Gastos
Peg Pese;Mercado
PegPese;Mercado
Peguei da momoi, preciso devolver;Financeiro
Peixaria Central de Os;Mercado
Película;Despesas Pessoais
Pena;Despesas Pessoais
Penas novas;Despesas Pessoais
Perfumaria;Despesas Pessoais
Perfumaria São Bento;Despesas Pessoais
Perfume 1/5;Despesas Pessoais
Perfume 2/5;Despesas Pessoais
Perfume 3/5;Despesas Pessoais
Perfume 4/5;Despesas Pessoais
Perfume 5/5;Despesas Pessoais
Perfume e frango leozão;Despesas Pessoais
Perfumes Marilia;Despesas Pessoais
PERNAMBUCANAS;Outros Gastos
Pernambucanas;Outros Gastos
Perola;Mercado
Perola Restaurante;Mercado
Peruca;Despesas Pessoais
peruca;Despesas Pessoais
Peruca Momoi;Despesas Pessoais
Peruca momoi;Despesas Pessoais
Peruda BJD;Despesas Pessoais
Pet Shop;Pets
Petisco do Tigrao;Delivery
Pets;Pets
Pets 08/02;Pets
Pets 1/2;Pets
Pets 1/3;Pets
Pets 1/4;Pets
Pets 2/2;Pets
Pets 2/3;Pets
Pets 2/4;Pets
Pets 3/3;Pets
Pets 3/4;Pets
Pets 4/4;Pets
Petsupermark;Pets
Pezinho e rev 1/6;Veículo
Pezinho e rev 2/6;Veículo
Pezinho e rev 3/6;Veículo
Pezinho e rev 4/6;Veículo
Pezinho e rev 5/6;Veículo
Pezinho e rev 6/6;Veículo
PEZZA;Delivery
Pikachu Gabi;Despesas Pessoais
