Descrição;Categoria
Aniverjão;Lazer e Entretenimento
Aniversário;Lazer e Entretenimento
Aniversário Carol;Lazer e Entretenimento
Aniversário Cris;Lazer e Entretenimento
Aniversário da Cris;Lazer e Entretenimento
Aniversário do Pedro;Lazer e Entretenimento
Aniversário do Shiva;Lazer e Entretenimento
Aniversário Leozão;Lazer e Entretenimento
Aniversário Marilia;Lazer e Entretenimento
Aniversário Paola YB;Lazer e Entretenimento
Aniversário Pedro;Lazer e Entretenimento
Aniversário Renata;Lazer e Entretenimento
Aniversário Sammy;Lazer e Entretenimento
Aniverwes;Lazer e Entretenimento
Anohana 2;Lazer e Entretenimento
Antec Carro;Veículo
Antec Fatura Nu;Financeiro
Antec. Par. 5/5;Financeiro
Antecipação aquecedor;Casa
Antecipação tablets;Casa
Antecipar;Financeiro
Antecipar 32 e 31;Financeiro
Antecipar 35/36;Financeiro
antecipar nubank;Financeiro
Antecipar parcelas do CC;Financeiro
Antena celular 1/3;Despesas Pessoais
Antena celular 2/3;Despesas Pessoais
Antena celular 3/3;Despesas Pessoais
Anti pombo 1/10;Casa
Anti pombo 10/10;Casa
Anti pombo 2/10;Casa
Anti pombo 3/10;Casa
Anti pombo 4/10;Casa
Anti pombo 5/10;Casa
Anti pombo 6/10;Casa
Anti pombo 7/10;Casa
Anti pombo 8/10;Casa
Anti pombo 9/10;Casa
Anuidade;Financeiro
Anuidade Diferenciada;Financeiro
Anuidade diferenciada 10/12;Financeiro
Anuidade diferenciada 4/12;Financeiro
Anuidade diferenciada 5/12;Financeiro
Anuidade diferenciada 6/12;Financeiro
Anuidade diferenciada 7/12;Financeiro
Anuidade diferenciada 8/12;Financeiro
Anuidade diferenciada 9/12;Financeiro
Anúncio;Despesas Pessoais
Anúncio FB;Despesas Pessoais
Aoharaido 8;Lazer e Entretenimento
Aplic C6;Investimentos e Poupança
Aplic Nubank;Investimentos e Poupança
Aplicação;Investimentos e Poupança
Aplicação HH YB Karine;Investimentos e Poupança
Aplicação HH YB Regina;Investimentos e Poupança
Aplicativos Marilia;Lazer e Entretenimento
Apoio bike;Despesas Pessoais
Apólice Estágio YB;Financeiro
App Cronometro;Despesas Pessoais
Aquecedor 1/12;Casa
Aquecedor momoi;Casa
Ar condicionado 1/6;Casa
Ar condicionado 2/6;Casa
Ar condicionado 3/6;Casa
Ar condicionado 4/6;Casa
Ar condicionado 5/6;Casa
Ar condicionado 6/6;Casa
Areatec;Outros Gastos
Areia gatos;Pets
Areia Johnny;Pets
Armarinhos;Despesas Pessoais
Armarinhos 1/2;Despesas Pessoais
Armarinhos 2/2;Despesas Pessoais
Armarinhos Fernando;Despesas Pessoais
Arquinho;Despesas Pessoais
Arredondar cartão;Financeiro
Arredondar saldo;Financeiro
Arrumar cadeiras;Casa
Art Festa;Despesas Pessoais
Arte Cris;Despesas Pessoais
Artfesta;Despesas Pessoais
Árvore de Natal 1/3;Casa
Árvore de Natal 2/3;Casa
Árvore de Natal 3/3;Casa
Asia;Despesas Pessoais
Asia 1/2;Despesas Pessoais
Asia 2/2;Despesas Pessoais
Aspirador 1/2;Casa
Aspirador 1/3;Casa
Aspirador 1/9;Casa
Aspirador 2/2;Casa
Aspirador 2/3;Casa
Aspirador 2/9;Casa
Aspirador 3/3;Casa
Aspirador 3/9;Casa
Aspirador 4/9;Casa
Aspirador 5/9;Casa
Aspirador 6/9;Casa
Aspirador 7/9;Casa
Aspirador 8/9;Casa
Aspirador 9/9;Casa
Aspirador carro;Casa
Aspirador de pó;Casa
Assai;Mercado
Assinatura Sydonia;Lazer e Entretenimento
Assistência 1/2;Casa
Assistência 2/2;Casa
Átomos C6;Financeiro
Atraso;Financeiro
Audible;Lazer e Entretenimento
Aula de Viola;Educação
Aula Viola;Educação
Aulas de desenho 1/10;Educação
Aulas de desenho 10/10;Educação
Aulas de desenho 2/10;Educação
Aulas de desenho 3/10;Educação
Aulas de desenho 4/10;Educação
Aulas de desenho 5/10;Educação
Aulas de desenho 6/10;Educação
Aulas de desenho 7/10;Educação
Aulas de desenho 8/10;Educação
Aulas de desenho 9/10;Educação
Auto escola 1/5;Veículo
Auto escola 2/5;Veículo
Auto escola 3/5;Veículo
Auto escola 4/5;Veículo
Auto escola 5/5;Veículo
Autoelétrico;Veículo
Autoescola;Veículo
Autopass;Transporte
Avental 1/3;Despesas Pessoais
Avental 2/3;Despesas Pessoais
Avental 3/3;Despesas Pessoais
Avon Marilia;Despesas Pessoais
Bakugo 1/12;Despesas Pessoais
Bakugo 10/12;Despesas Pessoais
Bakugo 11/12;Despesas Pessoais
Bakugo 12/12;Despesas Pessoais
Bakugo 2/12;Despesas Pessoais
Bakugo 3/12;Despesas Pessoais
Bakugo 4/12;Despesas Pessoais
Bakugo 5/12;Despesas Pessoais
Bakugo 6/12;Despesas Pessoais
Bakugo 7/12;Despesas Pessoais
Bakugo 8/12;Despesas Pessoais
Bakugo 9/12;Despesas Pessoais
Bala de coco;Mercado
Balaclava;Despesas Pessoais
Balança;Casa
Balascos;Delivery
Baldurs Gate 1/3;Lazer e Entretenimento
Baldurs Gate 2/3;Lazer e Entretenimento
Baldurs Gate 3/3;Lazer e Entretenimento
Banana 1/3;Casa
Banana 2/3;Casa
Banana 3/3;Casa
Banana Outlet 1/3;Casa
Banana Outlet 2/3;Casa
Banana Outlet 3/3;Casa
Bananas;Casa
Banca;Despesas Pessoais
Bancada 1/3;Casa
Bancada 2/3;Casa
Bancada 3/3;Casa
Banco bike/kit pano prato;Despesas Pessoais
Bandeja Shiva;Despesas Pessoais
Banho Amélia;Pets
Banho Celta;Veículo
Banho celtico;Veículo
Banho celtinha;Veículo
Banho Dog;Pets
Banho e tosa;Pets
Baquetas 1/3;Despesas Pessoais
Baquetas 2/3;Despesas Pessoais
Baquetas 3/3;Despesas Pessoais
Bar Lu Arte;Lazer e Entretenimento
Bar Renan;Lazer e Entretenimento
Barbotti Carol;Delivery
Barikote;Lazer e Entretenimento
Barn;Lazer e Entretenimento
Barraca do Queijo;Mercado
Barracão;Lazer e Entretenimento
Batatas no McDonalds;Delivery
Bater Orç x Saldo;Financeiro
Bateria Moto 1/2;Veículo
Bateria Moto 2/2;Veículo
Baterias 1/10;Veículo
Baterias 10/10;Veículo
Baterias 2/10;Veículo
Baterias 3/10;Veículo
Baterias 4/10;Veículo
Baterias 5/10;Veículo
Baterias 6/10;Veículo
Baterias 7/10;Veículo
Baterias 8/10;Veículo
Baterias 9/10;Veículo
Batman;Lazer e Entretenimento
Battle Royale;Lazer e Entretenimento
Bazar;Despesas Pessoais
Bazar Lyuan viagem;Despesas Pessoais
BBK;Delivery
Bea;Financeiro
Bea Churras;Financeiro
Bebidas;Delivery
Bebidas Onois;Delivery
Beduino;Delivery
Beduíno;Delivery
Beirute;Delivery
Bella Jully Loja de Co;Delivery
Benegripe;Mercado
Bentô;Delivery
Bentô Kaisen;Delivery
Berlinf;Outros Gastos
Besni 1/4;Despesas Pessoais
Besni 1/5;Despesas Pessoais
Besni 2/4;Despesas Pessoais
Besni 2/5;Despesas Pessoais
Besni 3/4;Despesas Pessoais
Besni 3/5;Despesas Pessoais
Besni 4/4;Despesas Pessoais
Besni 4/5;Despesas Pessoais
Besni 5/5;Despesas Pessoais
Better;Outros Gastos
Biglar 1/2;Casa
Biglar 2/2;Casa
Bijoux;Despesas Pessoais
Biju;Despesas Pessoais
Bijulovers;Despesas Pessoais
BIJULOVERS;Despesas Pessoais
Bijuteria momoi;Despesas Pessoais
Bike 1/5;Despesas Pessoais
Bike 2/5;Despesas Pessoais
Bike 3/5;Despesas Pessoais
Bike 4/5;Despesas Pessoais
Bike momoi 1/10;Despesas Pessoais
Bike momoi 10/10;Despesas Pessoais
Bike momoi 2/10;Despesas Pessoais
Bike momoi 3/10;Despesas Pessoais
Bike momoi 4/10;Despesas Pessoais
Bike momoi 5/10;Despesas Pessoais
Bike momoi 6/10;Despesas Pessoais
Bike momoi 7/10;Despesas Pessoais
Bike momoi 8/10;Despesas Pessoais
Bike momoi 9/10;Despesas Pessoais
Bike Sampa;Transporte
Bike sampa DE LOCO;Transporte
Bikini 3/5;Despesas Pessoais
Bikini 4/5;Despesas Pessoais
Bikini 5/5;Despesas Pessoais
Bikini 5x;Despesas Pessoais
Bilhete único Marilia;Transporte
Bingo;Despesas Pessoais
Bingo YB;Despesas Pessoais
Bis;Mercado
Biscoito;Mercado
Biscoitos;Mercado
BK;Delivery
Bk;Delivery
BK AF;Delivery
BK Carlos;Delivery
BK Continental;Delivery
BK Matrix;Delivery
BK Momoi;Delivery
Bk Osasco;Delivery
Bk vegano;Delivery
BKzinho;Delivery
Black Rock Star;Lazer e Entretenimento
Black rock star 2;Lazer e Entretenimento
Blusa;Despesas Pessoais
Boa compra;Lazer e Entretenimento
Boku no hero;Lazer e Entretenimento
Bolacha;Mercado
Bolachas;Mercado
Bolachinhas;Mercado
Bolão;Despesas Pessoais
Bolão FA;Despesas Pessoais
Bolão Fidencio Alves;Despesas Pessoais
Bolão OLVTKD;Despesas Pessoais
Bolão Onois;Despesas Pessoais
Bolão OT;Despesas Pessoais
Bolão RC;Despesas Pessoais
Bolão YB;Despesas Pessoais
Bolinhasabão;Despesas Pessoais
Bolo;Mercado
Bolo Adriano 1/3;Mercado
Bolo Adriano 2/3;Mercado
Bolo Adriano 3/3;Mercado
Bolo de aniversário;Mercado
Bolo do Wes;Mercado
Bolo Dona Marlene;Mercado
Bolo Jão;Mercado
Bolo Mariana;Mercado
Bolo Marilia;Mercado
Bolo Marilia e Banho Dog;Mercado
Bolo Minaw;Mercado
Bolo momoi;Mercado
Bolo namorados;Mercado
Bolo verde;Mercado
Bolo YB;Mercado
Bolo YB Anderson;Mercado
Bolo YB Daniela;Mercado
Bolo YB Douglas;Mercado
Bolo YB Jaqueline;Mercado
Bolo YB Karine;Mercado
Bolo YB Regina;Mercado
Bolos;Mercado
Bolos Mariana;Mercado
Bolos Marilia;Mercado
Bolsa;Despesas Pessoais
Bolsa nova;Despesas Pessoais
